name,terms,category
Amazon,amazon,E-Commerce
Home Depot,home depot,Retail
Lowe's,lowe's;lowes,Retail
Costco,costco,Retail
Walmart,walmart,Retail
YouTube,youtube,Digital Video
Television,television;tv commercial;tv advertising,Broadcast
Social Media,social media,Digital
Facebook,facebook,Social
Instagram,instagram,Social
TikTok,tiktok,Social
Influencer Marketing,influencer,Digital
Email Marketing,email marketing;email newsletter,Direct
Dealer Network,dealer network;authorized dealer,Distribution
Google Search Ads,google ads;search ads;ppc advertising,Digital
Trade Shows,trade show;trade shows,Events
Sponsorships,sponsorship;sponsorships;sponsored,Events
Online Reviews,online review;customer review;review site,Digital
Camping World,camping world,Retail
Northern Tool,northern tool,Retail
