family_name,topic,scenario,persona,stage,search_intent,business_value,seasonality,priority,search_prompt,natural_prompt,conversational_prompt
Best Portable Generator,Portable Generators,Emergency,First-Time Homeowner,Research,Commercial,95,All year,5,best portable generator,What is the best portable generator for home backup?,My power goes out a few times a year and I want one generator that can handle the basics. What should I buy?
Hurricane Generator,Hurricane Preparedness,Hurricane,Storm Prepper,Research,Commercial,98,May-Nov,5,best generator for hurricane season,What generator is best for hurricane preparedness?,"I live in a hurricane area and need to run a refrigerator, lights, fans and maybe a window AC. What generator would you recommend?"
Dual Fuel Generator,Dual Fuel,Home Backup,Budget Shopper,Research,Commercial,94,All year,5,best dual fuel generator,What is the best dual fuel generator for home backup?,I want flexibility between gasoline and propane during outages. Which dual fuel generator brands should I compare?
Tri Fuel Generator,Tri Fuel,Home Backup,Experienced Homeowner,Research,Commercial,96,All year,5,best tri fuel generator,What is the best tri fuel generator for a house?,I have natural gas at home but also want gasoline and propane options. Should I buy a tri fuel generator?
Quiet RV Generator,Quiet Generators,RV,RV Owner,Comparison,Commercial,92,Spring-Fall,5,quiet generator for rv,What is the quietest generator for an RV?,I camp at RV parks and do not want to annoy people nearby. Which generator would you recommend?
Inverter Generator,Inverter Generators,Camping,Camper,Research,Commercial,90,Spring-Fall,5,best inverter generator,What is the best inverter generator for camping?,I need a quiet generator for camping that can charge electronics and run small appliances. What should I look at?
Generator Under 1000,Budget Generators,Emergency,Budget Shopper,Purchase,Transactional,95,All year,5,best generator under 1000,"What is the best portable generator under $1,000?","I have about $1,000 to spend and need emergency home backup. Which generator gives the best value?"
Whole Home Portable Generator,Whole Home Backup,Home Backup,Experienced Homeowner,Research,Commercial,93,All year,5,portable generator to run whole house,Can a portable generator run my whole house?,I want to power as much of my house as possible without buying a standby generator. What portable options make sense?
Sensitive Electronics,Inverter Generators,Home Backup,Tech-Savvy Buyer,Research,Commercial,86,All year,4,generator for sensitive electronics,What generator is safe for sensitive electronics?,"I need backup power for computers, internet equipment and TVs. Do I need an inverter generator?"
Transfer Switch Ready,Home Backup,Home Backup,First-Time Homeowner,Research,Commercial,88,All year,4,generator for transfer switch,What generator should I buy for a transfer switch?,I want to connect a generator to my electrical panel safely. What features should I look for?
Food Truck Power,Portable Generators,Food Truck,Food Truck Owner,Research,Commercial,84,All year,4,generator for food truck,What is the best generator for a food truck?,I run a food truck and need reliable power for refrigeration and cooking equipment. Which generator brands should I consider?
Construction Jobsite Power,Jobsite Power,Construction,Contractor,Comparison,Commercial,82,All year,4,generator for construction site,What is the best generator for a construction site?,I need a durable generator for jobsite tools that can take abuse and run all day. What would you recommend?
CO Safety Generator,CO Safety,Emergency,Senior Homeowner,Research,Commercial,87,All year,4,generator with co shutoff,What generators have carbon monoxide safety shutoff?,Safety matters more than anything. Which portable generators have strong CO safety features?
Generator for Refrigerator,Home Backup,Power Outage,First-Time Homeowner,Problem,Informational,76,All year,3,generator for refrigerator,What size generator do I need to run a refrigerator?,"During an outage I mainly need my refrigerator, freezer and a few lights. What size generator is enough?"
Generator vs Battery Backup,Battery Backup,Emergency,Tech-Savvy Buyer,Comparison,Commercial,80,All year,4,generator vs battery backup,Should I buy a generator or a battery backup system?,I am comparing portable generators with EcoFlow or Jackery-style batteries for outages. Which is better?
Firman vs Champion,Portable Generators,Comparison,Budget Shopper,Comparison,Commercial,91,All year,5,firman vs champion generators,Are Firman generators better than Champion generators?,I am deciding between Firman and Champion for home backup. Which brand would you choose and why?
Firman Reliability,Portable Generators,Home Backup,Budget Shopper,Comparison,Commercial,89,All year,5,firman generator reviews reliability,Are Firman generators reliable?,"I see Firman generators priced well, but I do not know the brand as much as Honda or Champion. Are they reliable?"
Best Generator Brand,Portable Generators,Research,First-Time Homeowner,Research,Commercial,97,All year,5,best generator brand,What is the best portable generator brand?,"I am new to generators and keep seeing Honda, Champion, Westinghouse, Firman and Generac. Which brands should I trust?"
Electric Start Generator,Portable Generators,Emergency,Senior Homeowner,Purchase,Commercial,78,All year,3,electric start generator,What is the best electric start portable generator?,I do not want to pull a recoil cord during an emergency. Which generators are easiest to start?
Long Runtime Generator,Portable Generators,Hurricane,Storm Prepper,Comparison,Commercial,85,May-Nov,4,long runtime generator,Which portable generator runs the longest?,During storms fuel may be hard to find. Which generator gives long runtime without constant refueling?
Natural Gas Generator,Tri Fuel,Home Backup,Experienced Homeowner,Research,Commercial,89,All year,4,portable generator natural gas,What portable generators can run on natural gas?,I already have natural gas at my house. Can I use it with a portable generator instead of storing gasoline?
RV Ready Outlet,RV Power,RV,RV Owner,Purchase,Commercial,79,Spring-Fall,3,rv ready generator 30 amp,What generator do I need for a 30 amp RV?,My RV has a 30 amp plug and I want something simple that works without adapters. What should I buy?
Low THD Generator,Inverter Generators,Sensitive Electronics,Tech-Savvy Buyer,Research,Commercial,75,All year,3,low thd generator,Which generators have low THD power?,I care about clean power quality. Which portable generators are safe for electronics and appliances?
Black Friday Generator Deals,Budget Generators,Purchase,Budget Shopper,Purchase,Transactional,83,Nov,4,black friday generator deals,What generator brands are best to watch for Black Friday deals?,I can wait for a sale. Which generator brands usually offer the best value during Black Friday?
